date,geography,indicator,value
1914-01,Canada,All-items,6.0
1914-02,Canada,All-items,6.0
1914-03,Canada,All-items,6.0
1914-04,Canada,All-items,6.0
1914-05,Canada,All-items,5.9
1914-06,Canada,All-items,6.0
1914-07,Canada,All-items,5.9
1914-08,Canada,All-items,6.0
1914-09,Canada,All-items,6.0
1914-10,Canada,All-items,6.1
1914-11,Canada,All-items,6.1
1914-12,Canada,All-items,6.1
1915-01,Canada,All-items,6.1
1915-02,Canada,All-items,6.1
1915-03,Canada,All-items,6.1
1915-04,Canada,All-items,6.1
1915-05,Canada,All-items,6.1
1915-06,Canada,All-items,6.1
1915-07,Canada,All-items,6.1
1915-08,Canada,All-items,6.1
1915-09,Canada,All-items,6.1
1915-10,Canada,All-items,6.1
1915-11,Canada,All-items,6.3
1915-12,Canada,All-items,6.3
1916-01,Canada,All-items,6.4
1916-02,Canada,All-items,6.5
1916-03,Canada,All-items,6.5
1916-04,Canada,All-items,6.5
1916-05,Canada,All-items,6.5
1916-06,Canada,All-items,6.6
1916-07,Canada,All-items,6.6
1916-08,Canada,All-items,6.6
1916-09,Canada,All-items,6.8
1916-10,Canada,All-items,6.9
1916-11,Canada,All-items,7.1
1916-12,Canada,All-items,7.2
1917-01,Canada,All-items,7.4
1917-02,Canada,All-items,7.4
1917-03,Canada,All-items,7.6
1917-04,Canada,All-items,7.6
1917-05,Canada,All-items,7.9
1917-06,Canada,All-items,8.0
1917-07,Canada,All-items,8.0
1917-08,Canada,All-items,8.0
1917-09,Canada,All-items,8.0
1917-10,Canada,All-items,8.2
1917-11,Canada,All-items,8.2
1917-12,Canada,All-items,8.3
1918-01,Canada,All-items,8.4
1918-02,Canada,All-items,8.5
1918-03,Canada,All-items,8.6
1918-04,Canada,All-items,8.6
1918-05,Canada,All-items,8.7
1918-06,Canada,All-items,8.8
1918-07,Canada,All-items,8.9
1918-08,Canada,All-items,9.2
1918-09,Canada,All-items,9.2
1918-10,Canada,All-items,9.3
1918-11,Canada,All-items,9.4
1918-12,Canada,All-items,9.4
1919-01,Canada,All-items,9.5
1919-02,Canada,All-items,9.4
1919-03,Canada,All-items,9.4
1919-04,Canada,All-items,9.4
1919-05,Canada,All-items,9.7
1919-06,Canada,All-items,9.7
1919-07,Canada,All-items,9.8
1919-08,Canada,All-items,10.0
1919-09,Canada,All-items,10.0
1919-10,Canada,All-items,10.0
1919-11,Canada,All-items,10.1
1919-12,Canada,All-items,10.2
1920-01,Canada,All-items,10.6
1920-02,Canada,All-items,10.8
1920-03,Canada,All-items,11.2
1920-04,Canada,All-items,11.3
1920-05,Canada,All-items,11.6
1920-06,Canada,All-items,11.8
1920-07,Canada,All-items,11.8
1920-08,Canada,All-items,11.7
1920-09,Canada,All-items,11.5
1920-10,Canada,All-items,11.5
1920-11,Canada,All-items,11.3
1920-12,Canada,All-items,11.2
1921-01,Canada,All-items,11.0
1921-02,Canada,All-items,10.8
1921-03,Canada,All-items,10.5
1921-04,Canada,All-items,10.2
1921-05,Canada,All-items,10.0
1921-06,Canada,All-items,9.7
1921-07,Canada,All-items,9.7
1921-08,Canada,All-items,9.7
1921-09,Canada,All-items,9.7
1921-10,Canada,All-items,9.7
1921-11,Canada,All-items,9.4
1921-12,Canada,All-items,9.4
1922-01,Canada,All-items,9.4
1922-02,Canada,All-items,9.3
1922-03,Canada,All-items,9.2
1922-04,Canada,All-items,9.2
1922-05,Canada,All-items,9.1
1922-06,Canada,All-items,9.1
1922-07,Canada,All-items,9.1
1922-08,Canada,All-items,9.2
1922-09,Canada,All-items,9.2
1922-10,Canada,All-items,9.2
1922-11,Canada,All-items,9.2
1922-12,Canada,All-items,9.2
1923-01,Canada,All-items,9.2
1923-02,Canada,All-items,9.2
1923-03,Canada,All-items,9.3
1923-04,Canada,All-items,9.2
1923-05,Canada,All-items,9.2
1923-06,Canada,All-items,9.2
1923-07,Canada,All-items,9.1
1923-08,Canada,All-items,9.2
1923-09,Canada,All-items,9.2
1923-10,Canada,All-items,9.2
1923-11,Canada,All-items,9.2
1923-12,Canada,All-items,9.2
1924-01,Canada,All-items,9.2
1924-02,Canada,All-items,9.2
1924-03,Canada,All-items,9.2
1924-04,Canada,All-items,9.0
1924-05,Canada,All-items,8.9
1924-06,Canada,All-items,8.8
1924-07,Canada,All-items,8.8
1924-08,Canada,All-items,9.0
1924-09,Canada,All-items,9.0
1924-10,Canada,All-items,9.0
1924-11,Canada,All-items,9.1
1924-12,Canada,All-items,9.1
1925-01,Canada,All-items,9.2
1925-02,Canada,All-items,9.2
1925-03,Canada,All-items,9.2
1925-04,Canada,All-items,9.1
1925-05,Canada,All-items,9.0
1925-06,Canada,All-items,9.0
1925-07,Canada,All-items,9.0
1925-08,Canada,All-items,9.1
1925-09,Canada,All-items,9.1
1925-10,Canada,All-items,9.2
1925-11,Canada,All-items,9.2
1925-12,Canada,All-items,9.3
1926-01,Canada,All-items,9.2
1926-02,Canada,All-items,9.2
1926-03,Canada,All-items,9.2
1926-04,Canada,All-items,9.2
1926-05,Canada,All-items,9.2
1926-06,Canada,All-items,9.2
1926-07,Canada,All-items,9.2
1926-08,Canada,All-items,9.2
1926-09,Canada,All-items,9.2
1926-10,Canada,All-items,9.2
1926-11,Canada,All-items,9.2
1926-12,Canada,All-items,9.2
1927-01,Canada,All-items,9.2
1927-02,Canada,All-items,9.2
1927-03,Canada,All-items,9.1
1927-04,Canada,All-items,9.0
1927-05,Canada,All-items,9.0
1927-06,Canada,All-items,9.0
1927-07,Canada,All-items,9.1
1927-08,Canada,All-items,9.0
1927-09,Canada,All-items,9.0
1927-10,Canada,All-items,9.0
1927-11,Canada,All-items,9.1
1927-12,Canada,All-items,9.1
1928-01,Canada,All-items,9.2
1928-02,Canada,All-items,9.2
1928-03,Canada,All-items,9.1
1928-04,Canada,All-items,9.1
1928-05,Canada,All-items,9.0
1928-06,Canada,All-items,9.0
1928-07,Canada,All-items,9.0
