date,geography,indicator,value
1961-01,Canada,Gross domestic product at market prices,363923.0
1961-04,Canada,Gross domestic product at market prices,373138.0
1961-07,Canada,Gross domestic product at market prices,382218.0
1961-10,Canada,Gross domestic product at market prices,387418.0
1962-01,Canada,Gross domestic product at market prices,397727.0
1962-04,Canada,Gross domestic product at market prices,400888.0
1962-07,Canada,Gross domestic product at market prices,406015.0
1962-10,Canada,Gross domestic product at market prices,413982.0
1963-01,Canada,Gross domestic product at market prices,416607.0
1963-04,Canada,Gross domestic product at market prices,422666.0
1963-07,Canada,Gross domestic product at market prices,425878.0
1963-10,Canada,Gross domestic product at market prices,439206.0
1964-01,Canada,Gross domestic product at market prices,450201.0
1964-04,Canada,Gross domestic product at market prices,451887.0
1964-07,Canada,Gross domestic product at market prices,456710.0
1964-10,Canada,Gross domestic product at market prices,459001.0
1965-01,Canada,Gross domestic product at market prices,473602.0
1965-04,Canada,Gross domestic product at market prices,477938.0
1965-07,Canada,Gross domestic product at market prices,484608.0
1965-10,Canada,Gross domestic product at market prices,496485.0
1966-01,Canada,Gross domestic product at market prices,506146.0
1966-04,Canada,Gross domestic product at market prices,517072.0
1966-07,Canada,Gross domestic product at market prices,516825.0
1966-10,Canada,Gross domestic product at market prices,523230.0
1967-01,Canada,Gross domestic product at market prices,522051.0
1967-04,Canada,Gross domestic product at market prices,532927.0
1967-07,Canada,Gross domestic product at market prices,534607.0
1967-10,Canada,Gross domestic product at market prices,536936.0
1968-01,Canada,Gross domestic product at market prices,541513.0
1968-04,Canada,Gross domestic product at market prices,556071.0
1968-07,Canada,Gross domestic product at market prices,563816.0
1968-10,Canada,Gross domestic product at market prices,571623.0
1969-01,Canada,Gross domestic product at market prices,579449.0
1969-04,Canada,Gross domestic product at market prices,581833.0
1969-07,Canada,Gross domestic product at market prices,588288.0
1969-10,Canada,Gross domestic product at market prices,596601.0
1970-01,Canada,Gross domestic product at market prices,600288.0
1970-04,Canada,Gross domestic product at market prices,600338.0
1970-07,Canada,Gross domestic product at market prices,606551.0
1970-10,Canada,Gross domestic product at market prices,607472.0
1971-01,Canada,Gross domestic product at market prices,604347.0
1971-04,Canada,Gross domestic product at market prices,621993.0
1971-07,Canada,Gross domestic product at market prices,639182.0
1971-10,Canada,Gross domestic product at market prices,646168.0
1972-01,Canada,Gross domestic product at market prices,644006.0
1972-04,Canada,Gross domestic product at market prices,662263.0
1972-07,Canada,Gross domestic product at market prices,664228.0
1972-10,Canada,Gross domestic product at market prices,679830.0
1973-01,Canada,Gross domestic product at market prices,697278.0
1973-04,Canada,Gross domestic product at market prices,703930.0
