date,geography,indicator,value
2015-04,Canada,Job vacancies,482925.0
2015-04,Canada,Payroll employees,14803985.0
2015-04,Canada,Job vacancy rate,3.2
2015-04,Newfoundland and Labrador,Job vacancies,4770.0
2015-04,Newfoundland and Labrador,Payroll employees,198160.0
2015-04,Newfoundland and Labrador,Job vacancy rate,2.3
2015-04,Prince Edward Island,Job vacancies,1445.0
2015-04,Prince Edward Island,Payroll employees,52280.0
2015-04,Prince Edward Island,Job vacancy rate,2.7
2015-04,Nova Scotia,Job vacancies,13175.0
2015-04,Nova Scotia,Payroll employees,382870.0
2015-04,Nova Scotia,Job vacancy rate,3.3
2015-04,New Brunswick,Job vacancies,9020.0
2015-04,New Brunswick,Payroll employees,270300.0
2015-04,New Brunswick,Job vacancy rate,3.2
2015-04,Quebec,Job vacancies,76640.0
2015-04,Quebec,Payroll employees,3241755.0
2015-04,Quebec,Job vacancy rate,2.3
2015-04,Ontario,Job vacancies,188005.0
2015-04,Ontario,Payroll employees,5662405.0
2015-04,Ontario,Job vacancy rate,3.2
2015-04,Manitoba,Job vacancies,15595.0
2015-04,Manitoba,Payroll employees,550710.0
2015-04,Manitoba,Job vacancy rate,2.8
2015-04,Saskatchewan,Job vacancies,
2015-04,Saskatchewan,Payroll employees,454160.0
2015-04,Saskatchewan,Job vacancy rate,
2015-04,Alberta,Job vacancies,
2015-04,Alberta,Payroll employees,1995165.0
2015-04,Alberta,Job vacancy rate,
2015-04,British Columbia,Job vacancies,71810.0
2015-04,British Columbia,Payroll employees,1948070.0
2015-04,British Columbia,Job vacancy rate,3.6
2015-04,Yukon,Job vacancies,745.0
2015-04,Yukon,Payroll employees,15085.0
2015-04,Yukon,Job vacancy rate,4.7
2015-04,Northwest Territories,Job vacancies,1025.0
2015-04,Northwest Territories,Payroll employees,22550.0
2015-04,Northwest Territories,Job vacancy rate,4.3
2015-04,Nunavut,Job vacancies,395.0
2015-04,Nunavut,Payroll employees,10475.0
2015-04,Nunavut,Job vacancy rate,3.6
2015-05,Canada,Job vacancies,444495.0
2015-05,Canada,Payroll employees,14955300.0
2015-05,Canada,Job vacancy rate,2.9
2015-05,Newfoundland and Labrador,Job vacancies,5540.0
2015-05,Newfoundland and Labrador,Payroll employees,203855.0
2015-05,Newfoundland and Labrador,Job vacancy rate,2.6
2015-05,Prince Edward Island,Job vacancies,1335.0
2015-05,Prince Edward Island,Payroll employees,54150.0
2015-05,Prince Edward Island,Job vacancy rate,2.4
2015-05,Nova Scotia,Job vacancies,12770.0
2015-05,Nova Scotia,Payroll employees,377015.0
2015-05,Nova Scotia,Job vacancy rate,3.3
2015-05,New Brunswick,Job vacancies,11360.0
2015-05,New Brunswick,Payroll employees,267285.0
2015-05,New Brunswick,Job vacancy rate,4.1
2015-05,Quebec,Job vacancies,63970.0
2015-05,Quebec,Payroll employees,3306870.0
2015-05,Quebec,Job vacancy rate,1.9
2015-05,Ontario,Job vacancies,187225.0
2015-05,Ontario,Payroll employees,5727975.0
2015-05,Ontario,Job vacancy rate,3.2
2015-05,Manitoba,Job vacancies,14660.0
2015-05,Manitoba,Payroll employees,559230.0
2015-05,Manitoba,Job vacancy rate,2.6
2015-05,Saskatchewan,Job vacancies,
2015-05,Saskatchewan,Payroll employees,471585.0
2015-05,Saskatchewan,Job vacancy rate,
2015-05,Alberta,Job vacancies,70785.0
2015-05,Alberta,Payroll employees,1972005.0
2015-05,Alberta,Job vacancy rate,3.5
2015-05,British Columbia,Job vacancies,59115.0
2015-05,British Columbia,Payroll employees,1967370.0
2015-05,British Columbia,Job vacancy rate,2.9
2015-05,Yukon,Job vacancies,840.0
2015-05,Yukon,Payroll employees,15290.0
2015-05,Yukon,Job vacancy rate,5.2
2015-05,Northwest Territories,Job vacancies,1395.0
2015-05,Northwest Territories,Payroll employees,22160.0
2015-05,Northwest Territories,Job vacancy rate,5.9
2015-05,Nunavut,Job vacancies,415.0
2015-05,Nunavut,Payroll employees,10510.0
2015-05,Nunavut,Job vacancy rate,3.8
2015-06,Canada,Job vacancies,410685.0
2015-06,Canada,Payroll employees,15265050.0
2015-06,Canada,Job vacancy rate,2.6
2015-06,Newfoundland and Labrador,Job vacancies,5245.0
2015-06,Newfoundland and Labrador,Payroll employees,196695.0
2015-06,Newfoundland and Labrador,Job vacancy rate,2.6
2015-06,Prince Edward Island,Job vacancies,2035.0
2015-06,Prince Edward Island,Payroll employees,60550.0
2015-06,Prince Edward Island,Job vacancy rate,3.3
2015-06,Nova Scotia,Job vacancies,8400.0
2015-06,Nova Scotia,Payroll employees,409345.0
2015-06,Nova Scotia,Job vacancy rate,2.0
2015-06,New Brunswick,Job vacancies,6715.0
2015-06,New Brunswick,Payroll employees,282565.0
2015-06,New Brunswick,Job vacancy rate,2.3
2015-06,Quebec,Job vacancies,67545.0
2015-06,Quebec,Payroll employees,3370145.0
2015-06,Quebec,Job vacancy rate,2.0
2015-06,Ontario,Job vacancies,148735.0
2015-06,Ontario,Payroll employees,5841655.0
2015-06,Ontario,Job vacancy rate,2.5
2015-06,Manitoba,Job vacancies,13950.0
2015-06,Manitoba,Payroll employees,569760.0
2015-06,Manitoba,Job vacancy rate,2.4
2015-06,Saskatchewan,Job vacancies,12990.0
2015-06,Saskatchewan,Payroll employees,472450.0
2015-06,Saskatchewan,Job vacancy rate,2.7
2015-06,Alberta,Job vacancies,62805.0
2015-06,Alberta,Payroll employees,2013380.0
2015-06,Alberta,Job vacancy rate,3.0
2015-06,British Columbia,Job vacancies,80325.0
2015-06,British Columbia,Payroll employees,1999390.0
2015-06,British Columbia,Job vacancy rate,3.9
2015-06,Yukon,Job vacancies,690.0
2015-06,Yukon,Payroll employees,16215.0
2015-06,Yukon,Job vacancy rate,4.1
2015-06,Northwest Territories,Job vacancies,770.0
2015-06,Northwest Territories,Payroll employees,22300.0
2015-06,Northwest Territories,Job vacancy rate,3.3
2015-06,Nunavut,Job vacancies,
2015-06,Nunavut,Payroll employees,10600.0
2015-06,Nunavut,Job vacancy rate,
2015-07,Canada,Job vacancies,374735.0
2015-07,Canada,Payroll employees,15465860.0
2015-07,Canada,Job vacancy rate,2.4
2015-07,Newfoundland and Labrador,Job vacancies,4330.0
2015-07,Newfoundland and Labrador,Payroll employees,215065.0
2015-07,Newfoundland and Labrador,Job vacancy rate,2.0
2015-07,Prince Edward Island,Job vacancies,670.0
2015-07,Prince Edward Island,Payroll employees,63895.0
2015-07,Prince Edward Island,Job vacancy rate,1.0
2015-07,Nova Scotia,Job vacancies,9000.0
2015-07,Nova Scotia,Payroll employees,409770.0
2015-07,Nova Scotia,Job vacancy rate,2.1
2015-07,New Brunswick,Job vacancies,5760.0
2015-07,New Brunswick,Payroll employees,285160.0
2015-07,New Brunswick,Job vacancy rate,2.0
2015-07,Quebec,Job vacancies,55710.0
2015-07,Quebec,Payroll employees,3431425.0
2015-07,Quebec,Job vacancy rate,1.6
2015-07,Ontario,Job vacancies,138045.0
2015-07,Ontario,Payroll employees,5904800.0
2015-07,Ontario,Job vacancy rate,2.3
2015-07,Manitoba,Job vacancies,11620.0
2015-07,Manitoba,Payroll employees,573460.0
2015-07,Manitoba,Job vacancy rate,2.0
2015-07,Saskatchewan,Job vacancies,10505.0
2015-07,Saskatchewan,Payroll employees,477845.0
2015-07,Saskatchewan,Job vacancy rate,2.2
2015-07,Alberta,Job vacancies,60890.0
2015-07,Alberta,Payroll employees,2017740.0
2015-07,Alberta,Job vacancy rate,2.9
2015-07,British Columbia,Job vacancies,76075.0
2015-07,British Columbia,Payroll employees,2035835.0
2015-07,British Columbia,Job vacancy rate,3.6
2015-07,Yukon,Job vacancies,695.0
2015-07,Yukon,Payroll employees,16855.0
2015-07,Yukon,Job vacancy rate,3.9
2015-07,Northwest Territories,Job vacancies,1090.0
2015-07,Northwest Territories,Payroll employees,23315.0
2015-07,Northwest Territories,Job vacancy rate,4.5
2015-07,Nunavut,Job vacancies,345.0
2015-07,Nunavut,Payroll employees,10690.0
2015-07,Nunavut,Job vacancy rate,3.1
2015-08,Canada,Job vacancies,377900.0
2015-08,Canada,Payroll employees,15258035.0
2015-08,Canada,Job vacancy rate,2.4
2015-08,Newfoundland and Labrador,Job vacancies,4975.0
2015-08,Newfoundland and Labrador,Payroll employees,207220.0
2015-08,Newfoundland and Labrador,Job vacancy rate,2.3
2015-08,Prince Edward Island,Job vacancies,1595.0
2015-08,Prince Edward Island,Payroll employees,63010.0
2015-08,Prince Edward Island,Job vacancy rate,2.5
2015-08,Nova Scotia,Job vacancies,9860.0
2015-08,Nova Scotia,Payroll employees,399830.0
2015-08,Nova Scotia,Job vacancy rate,2.4
2015-08,New Brunswick,Job vacancies,5620.0
2015-08,New Brunswick,Payroll employees,317750.0
2015-08,New Brunswick,Job vacancy rate,1.7
2015-08,Quebec,Job vacancies,51720.0
2015-08,Quebec,Payroll employees,3353270.0
2015-08,Quebec,Job vacancy rate,1.5
2015-08,Ontario,Job vacancies,149770.0
2015-08,Ontario,Payroll employees,5836005.0
2015-08,Ontario,Job vacancy rate,2.5
2015-08,Manitoba,Job vacancies,12690.0
2015-08,Manitoba,Payroll employees,562785.0
2015-08,Manitoba,Job vacancy rate,2.2
2015-08,Saskatchewan,Job vacancies,11380.0
2015-08,Saskatchewan,Payroll employees,464840.0
2015-08,Saskatchewan,Job vacancy rate,2.4
2015-08,Alberta,Job vacancies,64925.0
2015-08,Alberta,Payroll employees,1995205.0
2015-08,Alberta,Job vacancy rate,3.2
2015-08,British Columbia,Job vacancies,63010.0
2015-08,British Columbia,Payroll employees,2007670.0
2015-08,British Columbia,Job vacancy rate,3.0
2015-08,Yukon,Job vacancies,
2015-08,Yukon,Payroll employees,16750.0
2015-08,Yukon,Job vacancy rate,
2015-08,Northwest Territories,Job vacancies,765.0
2015-08,Northwest Territories,Payroll employees,23605.0
2015-08,Northwest Territories,Job vacancy rate,3.1
