date,geography,indicator,value
1976-01,Canada,Population,16852.4
1976-01,Canada,Labour force,10369.7
1976-01,Canada,Employment,9636.7
1976-01,Canada,Full-time employment,8431.0
1976-01,Canada,Part-time employment,1205.6
1976-01,Canada,Unemployment,733.0
1976-01,Canada,Unemployment rate,7.1
1976-01,Canada,Participation rate,61.5
1976-01,Canada,Employment rate,57.2
1976-01,Newfoundland and Labrador,Population,367.7
1976-01,Newfoundland and Labrador,Labour force,185.1
1976-01,Newfoundland and Labrador,Employment,162.4
1976-01,Newfoundland and Labrador,Full-time employment,150.0
1976-01,Newfoundland and Labrador,Part-time employment,12.4
1976-01,Newfoundland and Labrador,Unemployment,22.7
1976-01,Newfoundland and Labrador,Unemployment rate,12.3
1976-01,Newfoundland and Labrador,Participation rate,50.3
1976-01,Newfoundland and Labrador,Employment rate,44.2
1976-01,Prince Edward Island,Population,82.1
1976-01,Prince Edward Island,Labour force,47.4
1976-01,Prince Edward Island,Employment,42.7
1976-01,Prince Edward Island,Full-time employment,37.2
1976-01,Prince Edward Island,Part-time employment,5.5
1976-01,Prince Edward Island,Unemployment,4.7
1976-01,Prince Edward Island,Unemployment rate,9.9
1976-01,Prince Edward Island,Participation rate,57.7
1976-01,Prince Edward Island,Employment rate,52.0
1976-01,Nova Scotia,Population,583.1
1976-01,Nova Scotia,Labour force,328.9
1976-01,Nova Scotia,Employment,303.0
1976-01,Nova Scotia,Full-time employment,265.4
1976-01,Nova Scotia,Part-time employment,37.6
1976-01,Nova Scotia,Unemployment,25.9
1976-01,Nova Scotia,Unemployment rate,7.9
1976-01,Nova Scotia,Participation rate,56.4
1976-01,Nova Scotia,Employment rate,52.0
1976-01,New Brunswick,Population,476.8
1976-01,New Brunswick,Labour force,258.7
1976-01,New Brunswick,Employment,229.6
1976-01,New Brunswick,Full-time employment,201.7
1976-01,New Brunswick,Part-time employment,27.9
1976-01,New Brunswick,Unemployment,29.1
1976-01,New Brunswick,Unemployment rate,11.2
1976-01,New Brunswick,Participation rate,54.3
1976-01,New Brunswick,Employment rate,48.2
1976-01,Quebec,Population,4696.3
1976-01,Quebec,Labour force,2770.7
1976-01,Quebec,Employment,2545.4
1976-01,Quebec,Full-time employment,2315.6
1976-01,Quebec,Part-time employment,229.8
1976-01,Quebec,Unemployment,225.3
1976-01,Quebec,Unemployment rate,8.1
1976-01,Quebec,Participation rate,59.0
1976-01,Quebec,Employment rate,54.2
1976-01,Ontario,Population,6136.3
1976-01,Ontario,Labour force,3960.0
1976-01,Ontario,Employment,3707.4
1976-01,Ontario,Full-time employment,3209.1
1976-01,Ontario,Part-time employment,498.3
1976-01,Ontario,Unemployment,252.7
1976-01,Ontario,Unemployment rate,6.4
1976-01,Ontario,Participation rate,64.5
1976-01,Ontario,Employment rate,60.4
1976-01,Manitoba,Population,732.9
1976-01,Manitoba,Labour force,452.8
1976-01,Manitoba,Employment,427.4
1976-01,Manitoba,Full-time employment,369.0
1976-01,Manitoba,Part-time employment,58.4
1976-01,Manitoba,Unemployment,25.3
1976-01,Manitoba,Unemployment rate,5.6
1976-01,Manitoba,Participation rate,61.8
1976-01,Manitoba,Employment rate,58.3
1976-01,Saskatchewan,Population,648.1
1976-01,Saskatchewan,Labour force,384.1
1976-01,Saskatchewan,Employment,369.5
1976-01,Saskatchewan,Full-time employment,312.2
1976-01,Saskatchewan,Part-time employment,57.3
1976-01,Saskatchewan,Unemployment,14.6
1976-01,Saskatchewan,Unemployment rate,3.8
1976-01,Saskatchewan,Participation rate,59.3
1976-01,Saskatchewan,Employment rate,57.0
1976-01,Alberta,Population,1276.7
1976-01,Alberta,Labour force,856.5
1976-01,Alberta,Employment,819.5
1976-01,Alberta,Full-time employment,693.7
1976-01,Alberta,Part-time employment,125.8
1976-01,Alberta,Unemployment,37.0
1976-01,Alberta,Unemployment rate,4.3
1976-01,Alberta,Participation rate,67.1
1976-01,Alberta,Employment rate,64.2
1976-01,British Columbia,Population,1852.4
1976-01,British Columbia,Labour force,1125.4
1976-01,British Columbia,Employment,1029.7
1976-01,British Columbia,Full-time employment,877.1
1976-01,British Columbia,Part-time employment,152.6
1976-01,British Columbia,Unemployment,95.8
1976-01,British Columbia,Unemployment rate,8.5
1976-01,British Columbia,Participation rate,60.8
1976-01,British Columbia,Employment rate,55.6
1976-02,Canada,Population,16892.0
1976-02,Canada,Labour force,10389.8
1976-02,Canada,Employment,9659.8
1976-02,Canada,Full-time employment,8467.5
1976-02,Canada,Part-time employment,1192.3
1976-02,Canada,Unemployment,730.0
1976-02,Canada,Unemployment rate,7.0
1976-02,Canada,Participation rate,61.5
1976-02,Canada,Employment rate,57.2
1976-02,Newfoundland and Labrador,Population,368.3
1976-02,Newfoundland and Labrador,Labour force,184.6
1976-02,Newfoundland and Labrador,Employment,161.1
1976-02,Newfoundland and Labrador,Full-time employment,147.8
1976-02,Newfoundland and Labrador,Part-time employment,13.3
1976-02,Newfoundland and Labrador,Unemployment,23.5
1976-02,Newfoundland and Labrador,Unemployment rate,12.7
1976-02,Newfoundland and Labrador,Participation rate,50.1
1976-02,Newfoundland and Labrador,Employment rate,43.7
1976-02,Prince Edward Island,Population,82.2
1976-02,Prince Edward Island,Labour force,47.9
1976-02,Prince Edward Island,Employment,42.7
