date,geography,indicator,value
1976-01,Canada,Population,4509.9
1976-01,Canada,Labour force,2849.4
1976-01,Canada,Employment,2499.6
1976-01,Canada,Full-time employment,1963.8
1976-01,Canada,Part-time employment,535.9
1976-01,Canada,Unemployment,349.8
1976-01,Canada,Unemployment rate,12.3
1976-01,Canada,Participation rate,63.2
1976-01,Canada,Employment rate,55.4
1976-01,Newfoundland and Labrador,Population,116.2
1976-01,Newfoundland and Labrador,Labour force,60.2
1976-01,Newfoundland and Labrador,Employment,49.3
1976-01,Newfoundland and Labrador,Full-time employment,43.7
1976-01,Newfoundland and Labrador,Part-time employment,5.6
1976-01,Newfoundland and Labrador,Unemployment,10.9
1976-01,Newfoundland and Labrador,Unemployment rate,18.1
1976-01,Newfoundland and Labrador,Participation rate,51.8
1976-01,Newfoundland and Labrador,Employment rate,42.4
1976-01,Prince Edward Island,Population,22.8
1976-01,Prince Edward Island,Labour force,13.7
1976-01,Prince Edward Island,Employment,11.2
1976-01,Prince Edward Island,Full-time employment,8.3
1976-01,Prince Edward Island,Part-time employment,2.9
1976-01,Prince Edward Island,Unemployment,2.5
1976-01,Prince Edward Island,Unemployment rate,18.2
1976-01,Prince Edward Island,Participation rate,60.1
1976-01,Prince Edward Island,Employment rate,49.1
1976-01,Nova Scotia,Population,159.2
1976-01,Nova Scotia,Labour force,96.1
1976-01,Nova Scotia,Employment,82.4
1976-01,Nova Scotia,Full-time employment,65.1
1976-01,Nova Scotia,Part-time employment,17.3
1976-01,Nova Scotia,Unemployment,13.7
1976-01,Nova Scotia,Unemployment rate,14.3
1976-01,Nova Scotia,Participation rate,60.4
1976-01,Nova Scotia,Employment rate,51.8
1976-01,New Brunswick,Population,138.7
1976-01,New Brunswick,Labour force,77.4
1976-01,New Brunswick,Employment,64.8
1976-01,New Brunswick,Full-time employment,51.9
1976-01,New Brunswick,Part-time employment,12.8
1976-01,New Brunswick,Unemployment,12.6
1976-01,New Brunswick,Unemployment rate,16.3
1976-01,New Brunswick,Participation rate,55.8
1976-01,New Brunswick,Employment rate,46.7
1976-01,Quebec,Population,1300.9
1976-01,Quebec,Labour force,778.9
1976-01,Quebec,Employment,666.6
1976-01,Quebec,Full-time employment,561.1
1976-01,Quebec,Part-time employment,105.5
1976-01,Quebec,Unemployment,112.3
1976-01,Quebec,Unemployment rate,14.4
1976-01,Quebec,Participation rate,59.9
1976-01,Quebec,Employment rate,51.2
1976-01,Ontario,Population,1579.0
1976-01,Ontario,Labour force,1028.2
1976-01,Ontario,Employment,916.2
1976-01,Ontario,Full-time employment,694.4
1976-01,Ontario,Part-time employment,221.8
1976-01,Ontario,Unemployment,112.0
1976-01,Ontario,Unemployment rate,10.9
1976-01,Ontario,Participation rate,65.1
1976-01,Ontario,Employment rate,58.0
1976-01,Manitoba,Population,190.9
1976-01,Manitoba,Labour force,130.4
1976-01,Manitoba,Employment,116.3
1976-01,Manitoba,Full-time employment,93.1
1976-01,Manitoba,Part-time employment,23.2
1976-01,Manitoba,Unemployment,14.1
1976-01,Manitoba,Unemployment rate,10.8
1976-01,Manitoba,Participation rate,68.3
1976-01,Manitoba,Employment rate,60.9
1976-01,Saskatchewan,Population,172.8
1976-01,Saskatchewan,Labour force,112.0
1976-01,Saskatchewan,Employment,103.5
1976-01,Saskatchewan,Full-time employment,80.2
1976-01,Saskatchewan,Part-time employment,23.4
1976-01,Saskatchewan,Unemployment,8.5
1976-01,Saskatchewan,Unemployment rate,7.6
1976-01,Saskatchewan,Participation rate,64.8
1976-01,Saskatchewan,Employment rate,59.9
1976-01,Alberta,Population,362.3
1976-01,Alberta,Labour force,252.3
1976-01,Alberta,Employment,231.8
1976-01,Alberta,Full-time employment,174.9
1976-01,Alberta,Part-time employment,56.9
1976-01,Alberta,Unemployment,20.5
1976-01,Alberta,Unemployment rate,8.1
1976-01,Alberta,Participation rate,69.6
1976-01,Alberta,Employment rate,64.0
1976-01,British Columbia,Population,467.0
1976-01,British Columbia,Labour force,300.2
1976-01,British Columbia,Employment,257.5
1976-01,British Columbia,Full-time employment,191.0
1976-01,British Columbia,Part-time employment,66.5
1976-01,British Columbia,Unemployment,42.7
1976-01,British Columbia,Unemployment rate,14.2
1976-01,British Columbia,Participation rate,64.3
1976-01,British Columbia,Employment rate,55.1
1976-02,Canada,Population,4518.2
1976-02,Canada,Labour force,2857.1
1976-02,Canada,Employment,2509.1
1976-02,Canada,Full-time employment,1970.8
1976-02,Canada,Part-time employment,538.3
1976-02,Canada,Unemployment,348.1
1976-02,Canada,Unemployment rate,12.2
1976-02,Canada,Participation rate,63.2
1976-02,Canada,Employment rate,55.5
1976-02,Newfoundland and Labrador,Population,116.2
1976-02,Newfoundland and Labrador,Labour force,59.7
1976-02,Newfoundland and Labrador,Employment,48.6
1976-02,Newfoundland and Labrador,Full-time employment,43.3
1976-02,Newfoundland and Labrador,Part-time employment,5.3
1976-02,Newfoundland and Labrador,Unemployment,11.1
1976-02,Newfoundland and Labrador,Unemployment rate,18.6
1976-02,Newfoundland and Labrador,Participation rate,51.4
1976-02,Newfoundland and Labrador,Employment rate,41.8
1976-02,Prince Edward Island,Population,22.8
1976-02,Prince Edward Island,Labour force,14.3
1976-02,Prince Edward Island,Employment,11.4
1976-02,Prince Edward Island,Full-time employment,9.0
1976-02,Prince Edward Island,Part-time employment,2.4
1976-02,Prince Edward Island,Unemployment,2.9
1976-02,Prince Edward Island,Unemployment rate,20.3
1976-02,Prince Edward Island,Participation rate,62.7
1976-02,Prince Edward Island,Employment rate,50.0
1976-02,Nova Scotia,Population,159.4
1976-02,Nova Scotia,Labour force,95.6
1976-02,Nova Scotia,Employment,82.4
1976-02,Nova Scotia,Full-time employment,64.7
1976-02,Nova Scotia,Part-time employment,17.7
1976-02,Nova Scotia,Unemployment,13.2
1976-02,Nova Scotia,Unemployment rate,13.8
1976-02,Nova Scotia,Participation rate,60.0
1976-02,Nova Scotia,Employment rate,51.7
1976-02,New Brunswick,Population,138.8
1976-02,New Brunswick,Labour force,76.4
1976-02,New Brunswick,Employment,63.5
1976-02,New Brunswick,Full-time employment,52.7
1976-02,New Brunswick,Part-time employment,10.8
1976-02,New Brunswick,Unemployment,12.9
1976-02,New Brunswick,Unemployment rate,16.9
1976-02,New Brunswick,Participation rate,55.0
1976-02,New Brunswick,Employment rate,45.7
1976-02,Quebec,Population,1302.1
1976-02,Quebec,Labour force,782.8
1976-02,Quebec,Employment,662.6
1976-02,Quebec,Full-time employment,557.6
1976-02,Quebec,Part-time employment,105.0
1976-02,Quebec,Unemployment,120.2
1976-02,Quebec,Unemployment rate,15.4
1976-02,Quebec,Participation rate,60.1
1976-02,Quebec,Employment rate,50.9
1976-02,Ontario,Population,1581.2
1976-02,Ontario,Labour force,1024.0
1976-02,Ontario,Employment,914.5
1976-02,Ontario,Full-time employment,690.5
1976-02,Ontario,Part-time employment,223.9
1976-02,Ontario,Unemployment,109.5
1976-02,Ontario,Unemployment rate,10.7
1976-02,Ontario,Participation rate,64.8
1976-02,Ontario,Employment rate,57.8
1976-02,Manitoba,Population,190.9
1976-02,Manitoba,Labour force,128.3
1976-02,Manitoba,Employment,119.1
1976-02,Manitoba,Full-time employment,96.3
1976-02,Manitoba,Part-time employment,22.8
1976-02,Manitoba,Unemployment,9.1
1976-02,Manitoba,Unemployment rate,7.1
1976-02,Manitoba,Participation rate,67.2
1976-02,Manitoba,Employment rate,62.4
1976-02,Saskatchewan,Population,173.3
1976-02,Saskatchewan,Labour force,116.0
1976-02,Saskatchewan,Employment,106.1
1976-02,Saskatchewan,Full-time employment,83.3
1976-02,Saskatchewan,Part-time employment,22.9
1976-02,Saskatchewan,Unemployment,9.9
1976-02,Saskatchewan,Unemployment rate,8.5
1976-02,Saskatchewan,Participation rate,66.9
1976-02,Saskatchewan,Employment rate,61.2
1976-02,Alberta,Population,365.7
1976-02,Alberta,Labour force,255.8
