date,geography,indicator,value
1946-01,Canada,Population,12188000
1946-04,Canada,Population,12241000
1946-07,Canada,Population,12316000
1946-10,Canada,Population,12393000
1947-01,Canada,Population,12450000
1947-04,Canada,Population,12507000
1947-07,Canada,Population,12576000
1947-10,Canada,Population,12646000
1948-01,Canada,Population,12710000
1948-04,Canada,Population,12773000
1948-07,Canada,Population,12852000
1948-10,Canada,Population,12930000
1949-01,Canada,Population,12998000
1949-04,Canada,Population,13399000
1949-07,Canada,Population,13475000
1949-10,Canada,Population,13548000
1950-01,Canada,Population,13607000
1950-04,Canada,Population,13663000
1950-07,Canada,Population,13737000
1950-10,Canada,Population,13807000
1951-01,Canada,Population,13870000
1951-04,Canada,Population,13937000
1951-07,Canada,Population,14050000
1951-07,Newfoundland and Labrador,Population,362000
1951-07,Prince Edward Island,Population,99000
1951-07,Nova Scotia,Population,643000
1951-07,New Brunswick,Population,517000
1951-07,Quebec,Population,4066000
1951-07,Ontario,Population,4615000
1951-07,Manitoba,Population,778000
1951-07,Saskatchewan,Population,834000
1951-07,Alberta,Population,943000
1951-07,British Columbia,Population,1168000
1951-07,Yukon,Population,9000
1951-07,Northwest Territories including Nunavut,Population,16000
1951-10,Canada,Population,14163000
1951-10,Newfoundland and Labrador,Population,365000
1951-10,Prince Edward Island,Population,99000
1951-10,Nova Scotia,Population,646000
1951-10,New Brunswick,Population,519000
1951-10,Quebec,Population,4095000
1951-10,Ontario,Population,4665000
1951-10,Manitoba,Population,784000
1951-10,Saskatchewan,Population,836000
1951-10,Alberta,Population,950000
1951-10,British Columbia,Population,1179000
1951-10,Yukon,Population,9000
1951-10,Northwest Territories including Nunavut,Population,16000
1952-01,Canada,Population,14277000
1952-01,Newfoundland and Labrador,Population,368000
1952-01,Prince Edward Island,Population,100000
1952-01,Nova Scotia,Population,647000
1952-01,New Brunswick,Population,521000
1952-01,Quebec,Population,4126000
1952-01,Ontario,Population,4717000
1952-01,Manitoba,Population,789000
1952-01,Saskatchewan,Population,836000
1952-01,Alberta,Population,959000
1952-01,British Columbia,Population,1189000
1952-01,Yukon,Population,9000
1952-01,Northwest Territories including Nunavut,Population,16000
1952-04,Canada,Population,14376000
1952-04,Newfoundland and Labrador,Population,371000
1952-04,Prince Edward Island,Population,100000
1952-04,Nova Scotia,Population,651000
1952-04,New Brunswick,Population,524000
1952-04,Quebec,Population,4153000
1952-04,Ontario,Population,4757000
1952-04,Manitoba,Population,794000
1952-04,Saskatchewan,Population,838000
1952-04,Alberta,Population,965000
1952-04,British Columbia,Population,1198000
1952-04,Yukon,Population,9000
1952-04,Northwest Territories including Nunavut,Population,16000
1952-07,Canada,Population,14496000
1952-07,Newfoundland and Labrador,Population,375000
1952-07,Prince Edward Island,Population,100000
1952-07,Nova Scotia,Population,654000
1952-07,New Brunswick,Population,527000
1952-07,Quebec,Population,4183000
1952-07,Ontario,Population,4802000
1952-07,Manitoba,Population,799000
1952-07,Saskatchewan,Population,845000
1952-07,Alberta,Population,977000
1952-07,British Columbia,Population,1209000
1952-07,Yukon,Population,9000
1952-07,Northwest Territories including Nunavut,Population,16000
1952-10,Canada,Population,14598000
1952-10,Newfoundland and Labrador,Population,377000
1952-10,Prince Edward Island,Population,101000
1952-10,Nova Scotia,Population,657000
1952-10,New Brunswick,Population,529000
1952-10,Quebec,Population,4209000
1952-10,Ontario,Population,4841000
1952-10,Manitoba,Population,802000
1952-10,Saskatchewan,Population,850000
1952-10,Alberta,Population,985000
1952-10,British Columbia,Population,1222000
1952-10,Yukon,Population,9000
1952-10,Northwest Territories including Nunavut,Population,16000
1953-01,Canada,Population,14682000
1953-01,Newfoundland and Labrador,Population,379000
1953-01,Prince Edward Island,Population,101000
1953-01,Nova Scotia,Population,660000
1953-01,New Brunswick,Population,530000
1953-01,Quebec,Population,4228000
1953-01,Ontario,Population,4876000
1953-01,Manitoba,Population,804000
1953-01,Saskatchewan,Population,852000
1953-01,Alberta,Population,994000
1953-01,British Columbia,Population,1233000
1953-01,Yukon,Population,9000
1953-01,Northwest Territories including Nunavut,Population,16000
1953-04,Canada,Population,14763000
1953-04,Newfoundland and Labrador,Population,382000
1953-04,Prince Edward Island,Population,101000
1953-04,Nova Scotia,Population,662000
1953-04,New Brunswick,Population,532000
1953-04,Quebec,Population,4249000
1953-04,Ontario,Population,4907000
1953-04,Manitoba,Population,806000
1953-04,Saskatchewan,Population,855000
1953-04,Alberta,Population,1002000
1953-04,British Columbia,Population,1242000
1953-04,Yukon,Population,9000
1953-04,Northwest Territories including Nunavut,Population,16000
1953-07,Canada,Population,14886000
1953-07,Newfoundland and Labrador,Population,384000
1953-07,Prince Edward Island,Population,101000
1953-07,Nova Scotia,Population,664000
1953-07,New Brunswick,Population,533000
1953-07,Quebec,Population,4281000
1953-07,Ontario,Population,4956000
1953-07,Manitoba,Population,810000
1953-07,Saskatchewan,Population,863000
1953-07,Alberta,Population,1016000
1953-07,British Columbia,Population,1253000
1953-07,Yukon,Population,9000
1953-07,Northwest Territories including Nunavut,Population,16000
1953-10,Canada,Population,15001000
1953-10,Newfoundland and Labrador,Population,387000
1953-10,Prince Edward Island,Population,101000
1953-10,Nova Scotia,Population,667000
1953-10,New Brunswick,Population,535000
1953-10,Quebec,Population,4310000
