date,geography,indicator,value
2001-01,Canada,Average weekly earnings including overtime for all employees,656.88
2001-01,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,593.77
2001-01,Prince Edward Island,Average weekly earnings including overtime for all employees,524.16
2001-01,Nova Scotia,Average weekly earnings including overtime for all employees,569.08
2001-01,New Brunswick,Average weekly earnings including overtime for all employees,580.01
2001-01,Quebec,Average weekly earnings including overtime for all employees,627.63
2001-01,Ontario,Average weekly earnings including overtime for all employees,697.75
2001-01,Manitoba,Average weekly earnings including overtime for all employees,577.93
2001-01,Saskatchewan,Average weekly earnings including overtime for all employees,590.84
2001-01,Alberta,Average weekly earnings including overtime for all employees,663.82
2001-01,British Columbia,Average weekly earnings including overtime for all employees,656.81
2001-01,Yukon,Average weekly earnings including overtime for all employees,716.31
2001-01,Northwest Territories,Average weekly earnings including overtime for all employees,893.76
2001-01,Nunavut,Average weekly earnings including overtime for all employees,864.96
2001-02,Canada,Average weekly earnings including overtime for all employees,653.23
2001-02,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,590.57
2001-02,Prince Edward Island,Average weekly earnings including overtime for all employees,527.8
2001-02,Nova Scotia,Average weekly earnings including overtime for all employees,570.91
2001-02,New Brunswick,Average weekly earnings including overtime for all employees,581.66
2001-02,Quebec,Average weekly earnings including overtime for all employees,625.45
2001-02,Ontario,Average weekly earnings including overtime for all employees,691.7
2001-02,Manitoba,Average weekly earnings including overtime for all employees,578.79
2001-02,Saskatchewan,Average weekly earnings including overtime for all employees,592.97
2001-02,Alberta,Average weekly earnings including overtime for all employees,661.91
2001-02,British Columbia,Average weekly earnings including overtime for all employees,653.24
2001-02,Yukon,Average weekly earnings including overtime for all employees,718.69
2001-02,Northwest Territories,Average weekly earnings including overtime for all employees,883.8
2001-02,Nunavut,Average weekly earnings including overtime for all employees,875.63
2001-03,Canada,Average weekly earnings including overtime for all employees,655.25
2001-03,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,593.47
2001-03,Prince Edward Island,Average weekly earnings including overtime for all employees,528.67
2001-03,Nova Scotia,Average weekly earnings including overtime for all employees,571.19
2001-03,New Brunswick,Average weekly earnings including overtime for all employees,583.43
2001-03,Quebec,Average weekly earnings including overtime for all employees,623.31
2001-03,Ontario,Average weekly earnings including overtime for all employees,695.77
2001-03,Manitoba,Average weekly earnings including overtime for all employees,579.96
2001-03,Saskatchewan,Average weekly earnings including overtime for all employees,594.2
2001-03,Alberta,Average weekly earnings including overtime for all employees,668.04
2001-03,British Columbia,Average weekly earnings including overtime for all employees,652.61
2001-03,Yukon,Average weekly earnings including overtime for all employees,723.32
2001-03,Northwest Territories,Average weekly earnings including overtime for all employees,892.75
2001-03,Nunavut,Average weekly earnings including overtime for all employees,869.81
2001-04,Canada,Average weekly earnings including overtime for all employees,652.41
2001-04,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,589.61
2001-04,Prince Edward Island,Average weekly earnings including overtime for all employees,521.6
2001-04,Nova Scotia,Average weekly earnings including overtime for all employees,568.54
2001-04,New Brunswick,Average weekly earnings including overtime for all employees,581.25
2001-04,Quebec,Average weekly earnings including overtime for all employees,620.24
2001-04,Ontario,Average weekly earnings including overtime for all employees,691.91
2001-04,Manitoba,Average weekly earnings including overtime for all employees,579.41
2001-04,Saskatchewan,Average weekly earnings including overtime for all employees,592.76
2001-04,Alberta,Average weekly earnings including overtime for all employees,669.34
2001-04,British Columbia,Average weekly earnings including overtime for all employees,653.63
2001-04,Yukon,Average weekly earnings including overtime for all employees,721.56
2001-04,Northwest Territories,Average weekly earnings including overtime for all employees,895.81
2001-04,Nunavut,Average weekly earnings including overtime for all employees,861.72
2001-05,Canada,Average weekly earnings including overtime for all employees,652.19
2001-05,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,584.46
2001-05,Prince Edward Island,Average weekly earnings including overtime for all employees,520.5
2001-05,Nova Scotia,Average weekly earnings including overtime for all employees,564.98
2001-05,New Brunswick,Average weekly earnings including overtime for all employees,580.63
2001-05,Quebec,Average weekly earnings including overtime for all employees,610.5
2001-05,Ontario,Average weekly earnings including overtime for all employees,690.65
2001-05,Manitoba,Average weekly earnings including overtime for all employees,581.23
2001-05,Saskatchewan,Average weekly earnings including overtime for all employees,596.17
2001-05,Alberta,Average weekly earnings including overtime for all employees,672.01
2001-05,British Columbia,Average weekly earnings including overtime for all employees,661.22
2001-05,Yukon,Average weekly earnings including overtime for all employees,719.36
2001-05,Northwest Territories,Average weekly earnings including overtime for all employees,892.8
2001-05,Nunavut,Average weekly earnings including overtime for all employees,853.59
2001-06,Canada,Average weekly earnings including overtime for all employees,656.72
2001-06,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,589.74
2001-06,Prince Edward Island,Average weekly earnings including overtime for all employees,525.69
2001-06,Nova Scotia,Average weekly earnings including overtime for all employees,571.94
2001-06,New Brunswick,Average weekly earnings including overtime for all employees,583.76
2001-06,Quebec,Average weekly earnings including overtime for all employees,625.76
2001-06,Ontario,Average weekly earnings including overtime for all employees,695.09
2001-06,Manitoba,Average weekly earnings including overtime for all employees,585.51
2001-06,Saskatchewan,Average weekly earnings including overtime for all employees,594.05
2001-06,Alberta,Average weekly earnings including overtime for all employees,675.01
2001-06,British Columbia,Average weekly earnings including overtime for all employees,656.29
2001-06,Yukon,Average weekly earnings including overtime for all employees,708.11
2001-06,Northwest Territories,Average weekly earnings including overtime for all employees,893.49
2001-06,Nunavut,Average weekly earnings including overtime for all employees,865.34
2001-07,Canada,Average weekly earnings including overtime for all employees,657.14
